"img";"title";"attributes";"sub_title"
"https://berserk.ru/image/data/Берсерк/Berserk_Heroes_set-8_cards105-copy.png";"Окаменевший исполин";"<p> Стихия: Болота </p><p>Стоимость: 1</p><p>Здоровье: 3</p><p>Простой удар: 3</p><br>Не может атаковать.<br/>Не может выступать защитником. Когда вы берете вторую карту за ход,<strong>Окаменевший исполин</strong>теряет особенности до начала вашего следующего хода.";""
"https://berserk.ru/image/cards/card-87113.jpg";"Кёле";"<p> Стихия: Леса </p><p>Стоимость: 6</p><p>Здоровье: 4</p><p>Простой удар: 4</p><br>Найм: Получить 2 из 4:<br/>- Броня 2<br/>- Первый удар<br/>- Рывок<br/>- +2 к удару.";""
"https://berserk.ru/image/cards/card-87188.jpg";"Гном";"<p> Стихия: Горы </p><p>Стоимость: 2</p><p>Здоровье: 3</p><p>Простой удар: 3</p><br>";"Если воин одного роста со своей скирой, бородой и пивной бочной - это гном!"
"https://berserk.ru/image/data/Берсерк/multi516-copy.png";"Плавучий остров";"<p> Стихия: Степи Болота </p><p>Стоимость: 4</p><br>Каждый раз, когда ваше существо наносит раны ударом герою противника, возьмите карту.";""
"https://berserk.ru/image/data/Берсерк/Berserk_Heroes_set-7_cards-PRINT160-copy.png";"Механическая конечность";"<p> Стихия: Нейтральная </p><p>Стоимость: 5</p><p>Здоровье: 4</p><p>Простой удар: 4</p><br><strong>Модуль.</strong>";"Ничего особенного, проходите мимо."
"https://berserk.ru/image/data/Берсерк/BH10_CARDS131.png";"Погибель";"<p> Стихия: Тьма </p><p>Стоимость: 1</p><br>Каждый игрок уничтожает своё существо, не являющееся<strong>Демоном.</strong>";""
"https://berserk.ru/image/cards/card-87342.jpg";"Воин ночи";"<p> Стихия: Нейтральная </p><p>Стоимость: 2</p><p>Здоровье: 1</p><p>Простой удар: 3</p><br>Защита от выстрелов.<br/>Защита от атак лесных карт.<br/>";"Лучший помошник убийцы - темнота"
"https://berserk.ru/image/data/Берсерк/neutral-533-copy.png";"Драйдер";"<p> Стихия: Нейтральная </p><p>Стоимость: 5</p><p>Здоровье: 4</p><p>Простой удар: 5</p><br>В начале вашего хода, если<strong> Драйдер</strong>на кладбище, вы можете заплатить 2<img alt= src=http://hobbygames.ru/image/data/Берсерк/goldpf1.png style=width: 13px; height: 13px;> и положить его под низ колоды, при этом взять карту (эта особенность действует на кладбище). </img>";""
"https://berserk.ru/image/data/Берсерк/forest17_copy.png";"Сиротки Кронга";"<p> Стихия: Леса </p><p>Стоимость: 3</p><p>Здоровье: 6</p><p>Простой удар: 1</p><br>Каждый раз, когда вы разыгрываете другое существо, получите 1<img alt= src=http://hobbygames.ru/image/data/Берсерк/pray_02.png style=width: 13px; height: 13px;>. </img>";"Раз... Раз-два... Раз-два-три-четыре,Кронг-н-ролл!"
"https://berserk.ru/image/data/Берсерк/neutral-532-copy.png";"Дозор Святолесья";"<p> Стихия: Нейтральная </p><p>Стоимость: 5</p><p>Здоровье: 8</p><p>Простой удар: 2</p><br>Каждый раз, когда вы берете карту,<strong>излечить</strong>персонажа на 1.";"Того, кто решит пробраться в Святолесье зимой ждет неприятный сюрприз – эти дозорные не впадают в спячку."
"https://berserk.ru/image/data/Берсерк/stepi-58-copy.png";"Волки пустоши";"<p> Стихия: Степи </p><p>Стоимость: 3</p><p>Здоровье: 3</p><p>Простой удар: 3</p><br><strong>Орда </strong>(<em>может быть до 5 копий этой карты в колоде</em>).<br/>Когда наносит раны ударом герою,<strong>Поиск</strong><strong>– Волки Пустоши</strong>(н<em>айдите в своей колоде указанную карту и возьмите ее себе в руку</em>).";""
"https://berserk.ru/image/data/Берсерк/11 сет/BH11_5 копия.png";"Дракарис";"<p> Стихия: Степи </p><p>Стоимость: 3</p><p>Здоровье: 1</p><p>Простой удар: 0</p><br><span style=color:#ffffff;><span noto= 13px;= arial,= armenian,= bengali,= cherokee,= devanagari,= ethiopic,= font-size:= geneva,= georgian,= hebrew,= helvetica= kannada,= khmer,= lao,= neue,= osmanya,= sans= sans-serif,= style=font-family: -apple-system, system-ui, Roboto,  tahoma,= tamil,= telugu,= thai,= verdana;=><strong>Кладка</strong>. <strong>Найм</strong>: Положите на <strong>Дракарис </strong>эффект усиления за каждое ваше <strong>Яйцо </strong>и каждого вашего <strong>дракона</strong>. </span></span>";"Молнией слетят они с небес – и тьма отступит."
"https://berserk.ru/image/cards/card-95767.jpg";"Гиртан";"<p> Стихия: Болота </p><p>Стоимость: 2</p><p>Здоровье: 5</p><p>Простой удар: 2</p><br>Не может атаковать.";"Исхар научился бороться и с теми кому нипочем отравленные стрелы ижоров и клинки хеддов."
"https://berserk.ru/image/data/Берсерк/gorii9-copy.png";"Йети";"<p> Стихия: Горы </p><p>Стоимость: 1</p><p>Здоровье: 2</p><p>Простой удар: 3</p><br>Бешенство (<em>должен атаковать ударом при первой возможности</em>).";"Лишь самые отчаянные или глупые охотники осмеливаются забредать на территорию йети."
